PERMNO,date,TICKER,BIDLO,ASKHI,PRC,VOL,BID,ASK,OPENPRC,NUMTRD
10104,01/04/2016,ORCL,35.36000,36.01000,35.75000,18784386,35.75000,35.76000,36.01000,
10104,01/05/2016,ORCL,35.49000,36.12000,35.64000,25340678,35.63000,35.64000,35.86000,
10104,01/06/2016,ORCL,35.36000,36.13500,35.82000,18165714,35.83000,35.84000,35.50000,
10104,01/07/2016,ORCL,34.88000,35.68000,35.04000,22591403,35.05000,35.06000,35.25000,
10104,01/08/2016,ORCL,34.61000,35.28000,34.65000,21962204,34.65000,34.66000,35.13000,
10104,01/11/2016,ORCL,34.52000,35.12000,34.94000,18726561,34.94000,34.95000,34.75000,
10104,01/12/2016,ORCL,34.98500,35.55000,35.37000,18457346,35.38000,35.39000,35.32000,
10104,01/13/2016,ORCL,33.87000,35.40000,34.08000,28322878,34.06000,34.07000,35.19000,
10104,01/14/2016,ORCL,34.01000,35.09000,34.79000,19523567,34.79000,34.80000,34.19000,
10104,01/15/2016,ORCL,33.66000,34.51000,34.12000,25425008,34.13000,34.14000,33.80000,
10104,01/19/2016,ORCL,34.24000,34.75000,34.55000,21423142,34.55000,34.56000,34.54000,
10104,01/20/2016,ORCL,33.13000,34.23000,33.94000,25278716,33.94000,33.95000,33.88000,
10104,01/21/2016,ORCL,33.59000,34.56000,34.12000,20380296,34.12000,34.13000,33.91000,
10104,01/22/2016,ORCL,34.53000,34.99000,34.80000,15892665,34.79000,34.80000,34.55000,
10104,01/25/2016,ORCL,34.30000,34.94000,34.34000,16793613,34.34000,34.35000,34.58000,
10104,01/26/2016,ORCL,34.12000,35.23000,35.23000,19729566,35.22000,35.23000,34.32000,
10104,01/27/2016,ORCL,34.73390,35.55000,34.91000,20567567,34.90000,34.91000,35.03000,
10104,01/28/2016,ORCL,34.94000,35.54500,35.33000,15472757,35.32000,35.33000,35.17000,
10104,01/29/2016,ORCL,35.51000,36.31000,36.31000,19059281,36.12000,36.13000,35.65000,
10104,02/01/2016,ORCL,35.85000,36.54000,36.32000,14143998,36.31000,36.32000,35.90000,
10104,02/02/2016,ORCL,35.25000,35.94000,35.35000,17404484,35.35000,35.36000,35.85000,
10104,02/03/2016,ORCL,34.94000,35.79000,35.69000,13855330,35.69000,35.70000,35.56000,
10104,02/04/2016,ORCL,35.66000,36.54000,36.45000,16925925,36.43000,36.44000,35.70000,
10104,02/05/2016,ORCL,35.37000,36.24000,35.70000,17312179,35.69000,35.70000,36.13000,
10104,02/08/2016,ORCL,34.47500,35.70000,35.61000,20118847,35.60000,35.61000,35.13000,
10104,02/09/2016,ORCL,34.62000,35.61000,35.08000,17819755,35.08000,35.09000,35.13000,
10104,02/10/2016,ORCL,35.14000,36.13500,35.20000,13368654,35.21000,35.22000,35.42000,
10104,02/11/2016,ORCL,34.47000,35.11000,34.84000,18889731,34.82000,34.84000,34.59000,
10104,02/12/2016,ORCL,34.90500,35.55000,35.54000,15837938,35.53000,35.54000,35.24000,
10104,02/16/2016,ORCL,35.42000,35.91000,35.70000,19676336,35.68000,35.69000,35.76000,
10104,02/17/2016,ORCL,35.97000,36.77000,36.63000,13186471,36.60000,36.61000,35.97000,
10104,02/18/2016,ORCL,36.39500,36.87000,36.63000,12866629,36.62000,36.63000,36.71000,
10104,02/19/2016,ORCL,36.42000,36.79000,36.78000,13203418,36.77000,36.78000,36.52000,
10104,02/22/2016,ORCL,36.90000,37.48520,37.11000,10109943,37.09000,37.10000,37.11000,
10104,02/23/2016,ORCL,36.38000,37.11000,36.55000,9417125,36.55000,36.56000,37.11000,
10104,02/24/2016,ORCL,35.77000,36.73000,36.63000,10978188,36.63000,36.64000,36.09000,
10104,02/25/2016,ORCL,36.50000,37.30000,37.29000,11566042,37.29000,37.30000,36.79000,
10104,02/26/2016,ORCL,36.84000,37.65000,36.96000,16548735,36.96000,36.97000,37.43000,
10104,02/29/2016,ORCL,36.62500,37.33000,36.78000,22300166,36.76000,36.77000,37.00000,
10104,03/01/2016,ORCL,37.04000,37.99000,37.99000,13030757,37.98000,37.99000,37.15000,
10104,03/02/2016,ORCL,37.43000,37.88990,37.76000,12791151,37.76000,37.77000,37.76000,
10104,03/03/2016,ORCL,37.39500,37.91000,37.89000,8832188,37.88000,37.89000,37.61000,
10104,03/04/2016,ORCL,37.77010,38.16000,37.89000,10638366,37.89000,37.90000,38.00000,
10104,03/07/2016,ORCL,37.52000,38.45000,38.36000,13011008,38.36000,38.37000,37.54000,
10104,03/08/2016,ORCL,37.94000,38.45000,38.15000,12384441,38.13000,38.15000,38.11000,
10104,03/09/2016,ORCL,38.12000,38.61000,38.48000,16786465,38.47000,38.48000,38.43000,
10104,03/10/2016,ORCL,37.50500,38.77000,38.05000,17621289,38.06000,38.07000,38.77000,
10104,03/11/2016,ORCL,38.28000,38.97000,38.95000,13143306,38.93000,38.94000,38.45000,
10104,03/14/2016,ORCL,38.55000,38.94000,38.70000,14704491,38.69000,38.70000,38.91000,
10104,03/15/2016,ORCL,38.13000,38.87000,38.74000,17502867,38.74000,38.75000,38.35000,
10104,03/16/2016,ORCL,39.53000,40.94500,40.22000,49082261,40.22000,40.23000,39.55000,
10104,03/17/2016,ORCL,40.07000,40.96000,40.61000,22163514,40.62000,40.63000,40.15000,
10104,03/18/2016,ORCL,40.65000,41.49000,41.48000,34354028,41.46000,41.47000,40.87000,
10104,03/21/2016,ORCL,41.37000,42.00000,41.61000,17275055,41.60000,41.61000,41.42000,
10104,03/22/2016,ORCL,41.19000,41.75000,41.38000,11970527,41.39000,41.40000,41.32000,
10104,03/23/2016,ORCL,40.57000,41.35000,40.75000,13666756,40.74000,40.75000,41.30000,
10104,03/24/2016,ORCL,40.34000,41.06500,40.97000,11956212,40.98000,40.99000,40.60000,
10104,03/28/2016,ORCL,40.55500,41.11000,40.62000,14646960,40.62000,40.63000,41.11000,
10104,03/29/2016,ORCL,40.37000,40.80000,40.70000,15159236,40.69000,40.70000,40.41000,
10104,03/30/2016,ORCL,40.84500,41.11000,40.97000,9803646,40.98000,40.99000,40.96000,
10104,03/31/2016,ORCL,40.80000,41.24000,40.91000,10196456,40.91000,40.92000,41.13000,
10104,04/01/2016,ORCL,40.62000,41.22000,41.16000,9574125,41.17000,41.18000,40.68000,
10104,04/04/2016,ORCL,40.90000,41.28000,41.07000,10243450,41.06000,41.07000,41.15000,
10104,04/05/2016,ORCL,40.46000,41.06000,40.53000,9111323,40.53000,40.54000,40.85000,
10104,04/06/2016,ORCL,40.19000,40.79000,40.75000,12516159,40.75000,40.76000,40.40000,
10104,04/07/2016,ORCL,39.81000,40.59000,39.97000,12838607,39.97000,39.98000,40.59000,
10104,04/08/2016,ORCL,40.13000,40.54000,40.36000,8011702,40.36000,40.37000,40.13000,
10104,04/11/2016,ORCL,40.38000,41.08000,40.39000,10399576,40.39000,40.40000,40.59000,
10104,04/12/2016,ORCL,39.99000,40.52000,40.42000,9245042,40.43000,40.44000,40.31000,
10104,04/13/2016,ORCL,40.63000,41.39000,41.31000,12752341,41.31000,41.32000,40.82000,
10104,04/14/2016,ORCL,41.18000,41.46000,41.24000,9150486,41.22000,41.23000,41.31000,
10104,04/15/2016,ORCL,41.02000,41.38000,41.02000,10340334,41.02000,41.03000,41.12000,
10104,04/18/2016,ORCL,40.80000,41.25000,41.24000,8849259,41.22000,41.23000,40.84000,
10104,04/19/2016,ORCL,40.96500,41.49000,41.06000,9884448,41.04000,41.05000,41.41000,
10104,04/20/2016,ORCL,41.08000,41.39000,41.10000,8481174,41.10000,41.11000,41.19000,
10104,04/21/2016,ORCL,40.88000,41.30000,40.99000,11954053,40.99000,41.00000,41.03000,
10104,04/22/2016,ORCL,40.67000,41.43000,40.70000,15003315,40.71000,40.72000,40.79000,
10104,04/25/2016,ORCL,40.47000,40.83000,40.78000,10876223,40.78000,40.79000,40.59000,
10104,04/26/2016,ORCL,40.43000,40.85000,40.65000,8365822,40.63000,40.64000,40.82000,
10104,04/27/2016,ORCL,40.51000,41.00000,40.85000,8742137,40.85000,40.86000,40.51000,
10104,04/28/2016,ORCL,40.17000,40.97000,40.33000,9233815,40.32000,40.33000,40.36000,
10104,04/29/2016,ORCL,39.37000,40.17000,39.86000,12883301,39.87000,39.88000,40.17000,
10104,05/02/2016,ORCL,39.83000,40.43000,40.30000,10454246,40.28000,40.29000,39.90000,
10104,05/03/2016,ORCL,39.53000,40.11000,39.68000,11439557,39.67000,39.68000,40.03000,
10104,05/04/2016,ORCL,39.13000,39.57000,39.29000,9046162,39.29000,39.30000,39.39000,
